mbwa	dog
lulu	pearl
wingu	cloud
iktisadi	economy
goti	knee
yai	egg
pombe	beer
godoro	mattress
fagio	broom
tabibu	doctor
buu	maggot
ndoo	bucket
nyanya	tomato
sumu	poison
roho	soul
chakula	food
kaa	crab
maiti	corpse
farasi	horse
leso	scarf
hariri	silk
malkia	queen
rembo	ornament
zulia	carpet
pipa	barrel
fununu	rumor
pazia	curtain
theluji	snow
tumbili	monkey
vuke	steam
wasaa	leisure
kaburi	grave
rafiki	friend
sala	prayer
kaputula	shorts
mashua	boat
punda	donkey
usingizi	sleep
ziwa	lake
elimu	science
zeituni	olives
adhama	honor
adui	enemy
bustani	garden
dafina	treasure
embe	mango
nabii	prophet
pafu	lung
pamba	cotton
samadi	manure
baharia	sailor
chama	society
jani	leaf
chura	frog
lozi	almond
nira	yoke
wakili	agent
yatima	orphan
bahasha	envelope
chaza	oyster
fumbo	mystery
hamira	yeast
vumbi	dust
ambo	glue
bandari	harbor
dalasini	cinnamon
inda	spite
jeraha	wound
lango	gate
nanga	anchor
paji	forehead
zabibu	grapes
desturi	custom
duara	wheel
handaki	trench
joko	kiln
mfupa	bone
sahani	plate
sanda	shroud
utenzi	poem
adhama	trouble
jibini	cheese
kasuku	parrot
rushwa	bribe
tajiri	merchant
talaka	divorce
yamini	oath
ankra	invoice
chimbo	quarry
gharika	flood
gutu	stump
hadithi	story
kamba	rope
lawama	blame
nafaka	corn
fahali	bull
mshoni	tailor
ruba	leech
ladha	flavor
ubini	forgery